"iso","adm1","umd_tree_cover_extent_2000__ha","area__ha"
"VNM",1,38558.8054297750131589,352497.8733173642812257
"VNM",2,7338.39935934870896880,247909.25613812155459772
"VNM",3,123081.68469498990690768,389359.73600268975890432
"VNM",4,413868.72987781987708408,486249.65715721152886643
"VNM",5,261.82394730820041744,82126.9782619258450658
"VNM",6,33677.73939423182521303,233979.48486794691150763
"VNM",7,56709.61978347034516029,190537.41060465504502972
"VNM",8,365176.18745460006507425,606381.42219005326373535
"VNM",9,97461.84892969844899915,269235.50225047586456516
"VNM",10,369791.81839024351854637,686652.44913736426237135
"VNM",11,282492.28719474110996097,794090.46155310745819371
"VNM",12,9992.4080190572001503,143967.988130562515995
"VNM",13,78106.20625615610558160,516853.23836978265874843
"VNM",14,459071.16634533069959308,669681.61005829622398040
"VNM",15,544937.76014971791288691,1302814.72630562844490398
"VNM",16,424384.61998069125817413,650782.25488700799901510
"VNM",17,260516.73043617128891690,586155.47917441151264533
"VNM",18,33680.10600085432463544,338848.2477399039791194
"VNM",19,61925.61227879517671272,98152.85429694247549245
"VNM",20,605460.97912828719836073,950248.78363005710583311
"VNM",21,720685.40857021635209106,1551379.60818463758099188
"VNM",22,6194.3849700681334546,167040.8611917561146914
"VNM",23,15829.10437471421695378,140011.70679030549779983
"VNM",24,27243.35757536456184943,162204.27083587792371165
"VNM",25,42900.51846755445044950,210960.17657520961002205
"VNM",26,460058.30843979896600028,792039.63549400634029303
"VNM",27,17139.75521889208810590,335674.55843514406553627
"VNM",28,5415.97316884214629886,86258.15464335317631430
"VNM",29,339200.68283131332939907,598335.66208531687422446
"VNM",30,274730.48013183273919091,457981.15221841932169422
"VNM",31,124.7620615102832184,92637.5224020041268
"VNM",32,292555.29427427225639097,483925.94058081867160277
"VNM",33,86625.25451052305695813,628873.42654692802558546
"VNM",34,746651.68700367645895951,965286.83647395234782920
"VNM",35,572741.94150577546976468,830345.25780619125842136
"VNM",36,559355.48640670847487706,906237.44748831907251862
"VNM",37,717822.73804680708451644,978678.13739903844707437
"VNM",38,325689.69591596414206163,635940.38440196264569405
"VNM",39,60815.30873222468659568,448857.79637327861194295
"VNM",40,2439.78932551266311289,158766.55399010215730422
"VNM",41,1086289.81613634847919468,1647456.78691449396726202
"VNM",42,24066.54246274527960158,134389.44951490154979971
"VNM",43,137617.27492787820433645,335958.90047103945329100
"VNM",44,140937.61989663920548288,353740.90916700072407826
"VNM",45,254053.60142666132210069,502918.27627093519239967
"VNM",46,604416.97715015489693504,797633.74161016037855803
"VNM",47,810947.14565716622080282,1057075.33277469230831975
"VNM",48,321366.61287805755116891,516299.05654119416740676
"VNM",49,339128.46945036748094364,599021.62105258963859378
"VNM",50,311361.14839973261251595,461180.68590601680431976
"VNM",51,21117.01190819347011827,328275.2994788313057095
"VNM",52,830446.90327391870214304,1411384.35441474924275653
"VNM",53,82554.66666491727856906,403950.55088403063892908
"VNM",54,334734.90879836086780002,502423.48384577567513302
"VNM",55,2673.70416588338931264,161226.03259864402561584
"VNM",56,185640.02148927257319053,352226.78401441925179123
"VNM",57,612565.00415406855799305,1110297.40517193506888340
"VNM",58,33587.76505464813355273,240559.80436249296154035
"VNM",59,14736.3490207234322987,232519.38420370987921934
"VNM",60,388329.29150028982339086,586700.62125431490474196
"VNM",61,16707.147779209267823,152522.901187788545
"VNM",62,21364.01552726298067498,123089.88162051044690305
"VNM",63,435975.65110865060046726,688788.18027508706090404
