"iso","adm1","alert__year","alert__week","alert__count","confidence__cat"
"VNM",3,2022,40,2,"h"
"VNM",7,2018,41,2,"h"
"VNM",8,2012,41,1,"h"
"VNM",8,2013,41,4,"h"
"VNM",8,2015,43,2,"h"
"VNM",8,2017,40,4,"h"
"VNM",8,2018,42,1,"h"
"VNM",8,2018,43,1,"h"
"VNM",8,2019,40,7,"h"
"VNM",8,2019,41,1,"h"
"VNM",8,2019,43,7,"h"
"VNM",11,2012,42,3,"h"
"VNM",11,2013,42,1,"h"
"VNM",11,2018,41,1,"h"
"VNM",11,2019,43,1,"h"
"VNM",14,2013,41,1,"h"
"VNM",15,2012,41,1,"h"
"VNM",15,2019,43,1,"h"
"VNM",15,2020,43,1,"h"
"VNM",16,2015,42,1,"h"
"VNM",16,2018,42,1,"h"
"VNM",17,2019,43,2,"h"
"VNM",19,2013,41,1,"h"
"VNM",20,2012,41,1,"h"
"VNM",20,2012,43,1,"h"
"VNM",20,2013,41,4,"h"
"VNM",20,2014,40,1,"h"
"VNM",20,2014,41,2,"h"
"VNM",20,2014,42,5,"h"
"VNM",20,2014,43,1,"h"
"VNM",20,2015,42,3,"h"
"VNM",20,2016,42,11,"h"
"VNM",20,2017,40,1,"h"
"VNM",20,2018,42,1,"h"
"VNM",20,2019,40,1,"h"
"VNM",20,2019,43,3,"h"
"VNM",20,2020,41,2,"h"
"VNM",20,2023,42,1,"h"
"VNM",21,2019,43,1,"h"
"VNM",25,2015,42,1,"h"
"VNM",26,2013,41,1,"h"
"VNM",26,2015,42,2,"h"
"VNM",26,2022,41,2,"h"
"VNM",29,2012,40,1,"h"
"VNM",29,2013,41,1,"h"
"VNM",29,2015,42,1,"h"
"VNM",29,2015,44,3,"h"
"VNM",30,2012,42,1,"h"
"VNM",30,2014,42,1,"h"
"VNM",32,2012,41,1,"h"
"VNM",32,2012,42,2,"h"
"VNM",32,2012,43,1,"h"
"VNM",32,2015,44,1,"h"
"VNM",32,2018,41,3,"h"
"VNM",33,2015,41,1,"h"
"VNM",35,2015,43,1,"h"
"VNM",35,2016,41,1,"h"
"VNM",35,2022,40,1,"h"
"VNM",35,2022,41,2,"h"
"VNM",35,2022,43,1,"h"
"VNM",36,2012,43,1,"h"
"VNM",36,2013,40,2,"h"
"VNM",36,2016,42,2,"h"
"VNM",37,2015,44,1,"h"
"VNM",38,2023,42,1,"h"
"VNM",41,2013,41,1,"h"
"VNM",41,2014,40,2,"h"
"VNM",41,2014,42,1,"h"
"VNM",41,2014,43,1,"h"
"VNM",41,2015,42,2,"h"
"VNM",41,2015,43,1,"h"
"VNM",41,2015,44,1,"h"
"VNM",41,2018,43,1,"h"
"VNM",41,2019,40,1,"h"
"VNM",41,2019,41,3,"h"
"VNM",41,2022,41,2,"h"
"VNM",41,2023,42,2,"h"
"VNM",44,2023,42,1,"h"
"VNM",45,2014,40,2,"h"
"VNM",45,2017,43,1,"h"
"VNM",45,2018,41,2,"h"
"VNM",45,2018,42,1,"h"
"VNM",45,2019,40,2,"h"
"VNM",45,2019,41,3,"h"
"VNM",45,2019,43,7,"h"
"VNM",45,2020,43,1,"h"
"VNM",45,2021,42,1,"h"
"VNM",46,2012,40,1,"h"
"VNM",46,2014,40,2,"h"
"VNM",46,2015,43,1,"h"
"VNM",46,2017,43,2,"h"
"VNM",46,2018,41,2,"h"
"VNM",46,2018,43,1,"h"
"VNM",46,2019,40,3,"h"
"VNM",47,2012,42,1,"h"
"VNM",47,2012,43,2,"h"
"VNM",47,2013,40,2,"h"
"VNM",47,2013,41,6,"h"
"VNM",47,2015,41,2,"h"
"VNM",47,2015,43,2,"h"
"VNM",47,2018,43,1,"h"
"VNM",47,2019,40,6,"h"
"VNM",47,2019,41,3,"h"
"VNM",47,2019,43,6,"h"
"VNM",48,2012,41,2,"h"
"VNM",48,2013,41,2,"h"
"VNM",48,2014,40,1,"h"
"VNM",48,2014,41,2,"h"
"VNM",48,2015,44,1,"h"
"VNM",48,2019,40,1,"h"
"VNM",48,2019,41,3,"h"
"VNM",49,2014,40,1,"h"
"VNM",49,2016,40,1,"h"
"VNM",49,2022,41,5,"h"
"VNM",49,2023,40,2,"h"
"VNM",50,2012,40,2,"h"
"VNM",50,2012,42,1,"h"
"VNM",50,2014,41,1,"h"
"VNM",50,2014,43,2,"h"
"VNM",50,2015,43,1,"h"
"VNM",50,2019,40,2,"h"
"VNM",50,2019,43,1,"h"
"VNM",52,2013,41,1,"h"
"VNM",52,2014,41,2,"h"
"VNM",52,2016,42,1,"h"
"VNM",52,2023,43,1,"h"
"VNM",53,2014,40,1,"h"
"VNM",54,2012,41,1,"h"
"VNM",54,2012,42,1,"h"
"VNM",54,2012,43,4,"h"
"VNM",54,2013,40,1,"h"
"VNM",54,2014,40,1,"h"
"VNM",54,2015,43,2,"h"
"VNM",54,2015,44,4,"h"
"VNM",54,2019,40,2,"h"
"VNM",54,2019,41,1,"h"
"VNM",54,2019,42,1,"h"
"VNM",54,2019,43,3,"h"
"VNM",56,2013,41,1,"h"
"VNM",56,2020,41,1,"h"
"VNM",56,2022,41,1,"h"
"VNM",57,2018,41,3,"h"
"VNM",57,2022,41,2,"h"
"VNM",57,2023,40,2,"h"
"VNM",60,2013,41,1,"h"
"VNM",60,2020,41,2,"h"
"VNM",63,2020,41,1,"h"
