Province,Total infected cases,Today infected cases,Deaths,Date
Ho Chi Minh City,629018,2563,2105,6-Aug-21
Binh Duong Province,325667,322,144,6-Aug-21
Long An Province,50297,286,84,6-Aug-21
Dong Nai Province,107518,207,39,6-Aug-21
Bac Giang Province,391440,0,13,6-Aug-21
Khanh Hoa Province,122036,53,81,6-Aug-21
Dong Thap Province,51614,0,24,6-Aug-21
Tien Giang Province,39902,253,75,6-Aug-21
Tay Ninh Province,140444,0,1,6-Aug-21
Ha Noi City,1646923,1,25,6-Aug-21
Ba Ria - Vung Tau Province,110822,77,42,6-Aug-21
Da Nang City,108712,0,13,6-Aug-21
Can Tho City,76925,0,2,6-Aug-21
Phu Yen Province,44481,27,0,6-Aug-21
Bac Ninh Province,353869,0,6,6-Aug-21
Vinh Long Province,103505,63,16,6-Aug-21
Binh Thuan Province,54300,0,3,6-Aug-21
Ben Tre Province,99799,0,22,6-Aug-21
Hai Duong Province,372391,1,0,6-Aug-21
An Giang Province,43297,47,4,6-Aug-21
Tra Vinh Province,75174,34,3,6-Aug-21
Kien Giang Province,43659,17,2,6-Aug-21
Ninh Thuan Province,9001,0,0,6-Aug-21
Soc Trang Province,34457,0,2,6-Aug-21
Quang Ngai Province,50513,19,0,6-Aug-21
Binh Dinh Province,139890,0,4,6-Aug-21
Quang Nam Province,49556,0,0,6-Aug-21
Dak Lak Province,172439,0,2,6-Aug-21
Hau Giang Province,17900,0,0,6-Aug-21
Hung Yen Province,244028,0,1,6-Aug-21
Nghe An Province,502049,0,0,6-Aug-21
Binh Phuoc Province,120003,0,0,6-Aug-21
Vinh Phuc Province,375686,0,1,6-Aug-21
Gia Lai Province,70961,5,1,6-Aug-21
Ha Tinh Province,55279,14,0,6-Aug-21
Thanh Hoa Province,178595,2,1,6-Aug-21
Thua Thien Hue Province,48186,4,0,6-Aug-21
Dak Nong Province,73427,4,0,6-Aug-21
Lang Son Province,160752,2,0,6-Aug-21
Bac Lieu Province,46949,0,0,6-Aug-21
Quang Ninh Province,356404,0,0,6-Aug-21
Thai Binh Province,296789,0,0,6-Aug-21
Lam Dong Province,98238,0,0,6-Aug-21
Ninh Binh Province,104800,0,0,6-Aug-21
Ha Nam Province,91467,0,0,6-Aug-21
Quang Binh Province,129648,4,0,6-Aug-21
Dien Bien Province,90757,0,0,6-Aug-21
Ca Mau Province,147734,0,0,6-Aug-21
Son La Province,153602,0,0,6-Aug-21
Lao Cai Province,188846,0,0,6-Aug-21
Hoa Binh Province,239941,2,1,6-Aug-21
Hai Phong City,537527,0,0,6-Aug-21
Quang Tri Province,86293,2,0,6-Aug-21
Nam Dinh Province,301101,0,0,6-Aug-21
Ha Giang Province,122610,0,0,6-Aug-21
Kon Tum Province,26342,0,0,6-Aug-21
Thai Nguyen Province,347519,0,0,6-Aug-21
Phu Tho Province,331520,0,0,6-Aug-21
Yen Bai Province,158046,0,0,6-Aug-21
Bac Kan Province,77048,0,0,6-Aug-21
Lai Chau Province,75519,0,0,6-Aug-21
Tuyen Quang Province,147582,0,0,6-Aug-21
